Comments,Class0,Class1,Class2,Class3,Class4,Class5
মাল যাইতাসে দেখ,0,1,0,0,0,0
একবার ও ভাবে না মরার পর আমেরিকার বাংলাদেশ না সবাইকে যার যার কর্মফল এর শাস্তি ভোগ করতে হবে ,0,0,0,0,0,1
পর্দা করলে সব ঠিক হয়ে যাবে সবার ই ভাবা উচিত আমাদের মা বোন আছে,0,1,0,0,0,0
খেলতে খেলতে বুবলির বুদা ফাটিয়া ফালা,0,0,0,1,0,0
যারা পশ্চিমা ধাঁচে চলে তাদের ধর্ষন করা হোক,0,0,0,0,1,0
তোমার মারে চুদি,0,0,0,1,0,0
তাহলে তোরা বিয়ে বসতে যাস কেনো  পতিতাবৃত্তি করলেই পারিস ,1,0,0,0,0,0
তোর ভাষায় বুজাযায় তুই কেমন ঘরের মেয়ে  তোরে পাইলে কুত্তা দিয়া পাল দেওয়াইতাম বেশ্যা,0,0,0,1,0,0
শালী মজা খাওয়ার সময় মনে থাকেনা,1,0,0,0,0,0
আবর্জনায় পরে থাকা টিস্যু আর তুই একই জিনিস ,0,1,0,0,0,0
সাকিব এর মাকে চুদা দরকার,0,0,0,1,0,0
নারী হয়ে আপনি ঘরের কাজ গুলোই করুন কারণ আপনাদেরকে কোমলতা দান করা হয়েছে ,0,1,0,0,0,0
লোকটা তোমাকে অসম্মান করতে না যদি তুমি পর্দা করতে আর অসম্মানিত হতে না  ,0,1,0,0,0,0
তিনি শতাধিক বছর বেচে থাকুন সমস্ত অন্যায়ের প্রতিবাদী কন্ঠস্বর হয়ে ,0,0,0,0,0,1
হাচিনা চুর,1,0,0,0,0,0
এসব মেয়েদের ইজ্জত থাকলে তো ইজ্জত নষ্ট হবে,0,0,0,0,1,0
খানকিমাগী তোর মারে চূদি মাগিমাগি,0,0,0,1,0,0
আমি চেতনাহীন হয়ে গেলাম  আজ আমরা কোথায় আছি,0,0,0,0,0,1
আমি এটা বিশ্বাস করি যে বোরকা পড়লে এমনটা হতো না  ,0,1,0,0,0,0
মিন্নি চরিত্রহীন নষ্টা মেয়ে,1,0,0,0,0,0
পরকীয়ার বিরুদ্ধে আইনানিকভাবে ব্যবস্থা নেওয়া উচিত  না হয় অনেক মেয়েরাই এ ধরনের কাজ করবে,0,0,0,0,1,0
সেখানে তিনি বলেছেন তাঁর পরিবারের কথা  শুনিয়েছেন ছোটবেলার গল্প ,0,0,0,0,0,1
যার যার নিজস্ব স্বাধীনতা আছে ,0,0,0,0,0,1
যে মাগী এই সংবাদটা পাঠ করছে তার ভোদা দিয়ে আগুন আগুন গরম রড ঢুকিয়ে দাও সবাইএই অনুষ্ঠানটি যে প্রচার করছে তারা সবাই ব্লাডি বাস্টার্ডসান অফ বিচফাকিং অফ ডগএনিমি অফ ইসলাম,0,0,0,1,0,0
এই বিশ্বকাপের শেষ ষোলোয় এসে দেখা গেল আসল ব্রাজিলকে ,0,0,0,0,0,1
এসব কলঙ্কিত নারীরাই আজকের দেশের সকল সমস্যার মূলহোতা ,0,1,0,0,0,0
মানুষের সম্মান দিতে চাইলে বেশি ভাইরাল না হয় পর্দার সাথে চলুন  ,0,1,0,0,0,0
এসব মাইয়া জন্ম হাইসে কিল্লেগা ,0,1,0,0,0,0
ছেলেরা এমনিতে ঠিক হয়ে যাবে দয়া করে আপনি পর্দা করেন  ,0,1,0,0,0,0
পর্দা করে চলাফেরা করা উচিত মেয়েদের,0,1,0,0,0,0
তুই যেমন মাগী তোর ইজ্জতই তো নাই ,0,1,0,0,0,0
নায়িকা কে আসল পতিতা মনে হয়েছে     যেমিন নায়িকা তেমন চরিত্র হিসেবে ঠিক আছে,0,1,0,0,0,0
নেক্সট প্রোগ্রাম কে চু বে ভুটকি শবনম ফারিয়া আর কালা মা গি মম কে   আর ঐ আক্সোদা দুই শালার অন্ডকোষের সাথে পাথর বাইধা দিয়া ভিডিও করতে দেয়া হবে  ,0,0,0,1,0,0
কত সাবলীলভাবে কথাগুলো বলছে মনে হচ্ছে এটা খুবই স্বাভাবিক একটি বিষয় বাজার থেকে আলু পটল কেনার মত ,0,0,0,0,0,1
একটি মেয়ের দোষ জানতে হলে তার বান্ধবীদের কাছে গিয়ে তার প্রশংসা কর,0,0,0,0,0,1
আমার মনে হয় বুরকা পড়লে এমন হতো না,0,1,0,0,0,0
তাসলিমা নাসরিনের উলঙ্গ হয়ে চলা উচিৎ যাতে মানুষ তার পাছায় থুথু দিতে পারে ,1,0,0,0,0,0
আপনে জুতা মারাই ডিসার্ভ করেন ,0,1,0,0,0,0
যে দেশের প্রধানমন্ত্রী শালীনতা রক্ষা করে পোশাক পড়েন সে দেশে অশালীন পোশাকের ছড়াছড়ি রাষ্ট্রের জন্য অশোভনীয়,0,0,0,0,1,0
রেসমি তোর বোদায় ঠাডা পরবো,0,0,0,1,0,0
এখনকার মেয়েরা পুরুষের বিনয়ের ভদ্রতার বদলে অর্থ ও বাহ কে বেশি গুরুত্ব দেয়  ,0,1,0,0,0,0
আমি তোমার সাতে গুদ মারতে চাই,0,0,0,1,0,0
তোর কত তোরে চুদমু খানকি,0,0,0,1,0,0
নডি তুই অনেক দিন দরে সোদা খাচ এর জন্য মিথ্যা বলছ আলগা বেডার সোদা খাছ স্বামীর হক অন্যকে দেছ তোকে ফাঁশি দেওয়া দরকার জাতে ভবিষ্যতে কেও এরো কোম কাম না করে ,0,0,0,1,0,0
এইভবে কথা বলতে মেরুদন্ড লাগে  অনেকের নাই উনার আছে ,0,0,0,0,0,1
একজন আদর্শ মেয়েকে ঘরেই মানায়,0,0,0,0,1,0
শালির একটা দিয়া হয়নাই আরো টা লাগবো ,1,0,0,0,0,0
বালের নায়িকা অপু বিশ্বাস,1,0,0,0,0,0
ভুল তো কিছু বলেন নি ,0,0,0,0,0,1
ঐ প্রবক্তারা নারীপুরুষের মাঝে সাম্য বা ন্যায় প্রতিষ্ঠা করতে পারেনি,0,0,0,0,0,1
পর্দা করলে এমন হতনা,0,1,0,0,0,0
এইবার নতুন একটা ইসু পাইছে সাংবাদিক এটাই চলবে এক মাস,0,0,0,0,0,1
এদের সামনে এদের মা কে চুদতে হবে আর শবনম ফারিয়া যে সেক্সি সাওয়াতে ভদা তে মাল দিতে হবে ওকে চুদতে মজা হবে৷৷,0,0,0,1,0,0
মাগি তোর ভুদা দিয়া হিমালয় ঢুকানো উচিৎ,0,0,0,1,0,0
ভীষণ আবেগপ্রবণ হয়ে পড়েছিলাম  মনে হচ্ছিল একটা কল্পনার জগতে বাস করছি ,0,0,0,0,0,1
কাজল দিলে মেয়েদেরকে আরো বেশি সুন্দর লাগে,0,0,0,0,0,1
পর্দা মেনে চললে তো এমনটা হয় না,0,0,0,0,1,0
সঠিক তদন্ত করা উচিত,0,0,0,0,0,1
কোনো মেয়েকে উত্যক্ত করা হলে উত্যক্তকারীর শাস্তি বাস্তবায়ন করা আমাদের কর্তব্য,0,0,0,0,0,1
শুধুমাত্র নারীর বীর্য লাগবে পুরুষের বীর্য লাগবে না এর সন্তানের জন্মের জন্য এই আশা কেমনে করে  ,0,1,0,0,0,0
ছাগল মেয়ে কি বলে   ও নাকি ভাজিন   হা হা হা মজা পাইলাম  ,1,0,0,0,0,0
শবনম পাদিয়া বুড়িচোদা ইঞ্চি মেক আপ লাগানো পাব্লিকটা নাকি ফকিন্নি বস্তিগুলার ক্রাশ    তোগো যাগো ক্রাস এই পাদিয়া উলটা হইয়া নিজের পুটকিটা দেখিস ওইটা আরো সুন্দর    ,1,0,0,0,0,0
নিউইয়র্ক স্টাইলে চলাফেরা করবেন  আর বিচার চাইবেন সৌদি আরবের এটাতো হতে পারে না আপু,0,0,0,0,1,0
আপু আপনার নং দিন সৌদিআরব,0,1,0,0,0,0
ইবলিশ লজ্জা পায় এই নেত্রীর শয়তানী দেখে,1,0,0,0,0,0
বড় বড় রাষ্টগুলোতে তুলনামুলক ধর্ষনের হার অনেক বেশি ,0,1,0,0,0,0
নিরিহ কাজের মেয়ে পেয়ে আকাম করলো   মেয়েটাও সেই পদেরই,1,0,0,0,0,0
এই মাগিকে পুড়িয়ে মারা দরকার,0,0,0,1,0,0
মদ খাও অার মা ঘি চু দো ব,0,0,0,1,0,0
এই চিহারাই রঙ্গিন ফিতা বেধে লাভ নাই আপু,1,0,0,0,0,0
তর মারে চুদি খানকির পোলা মুহাম্মাদ রে নিয়া কিছু কয়লে তর মারে চুদ মু,0,0,0,1,0,0
নারীকে সব ক্ষমতা দেওয়াটা অনুচিত বলে আমি মনে করি ,0,1,0,0,0,0
আজ পর্যন্ত কোনো পর্দাশীল নারী আমার জানামতে বাসে যৌন হয়রানির শিকার হয়নি ,0,1,0,0,0,0
তোমরা তো নারীদের স্বাধীনতার দাবিতে রাস্তায় আন্দোলন করো অথচ এটা তাদের ক্ষতির কারণ হয়,0,1,0,0,0,0
জরুরী নারীর স্বাধীনতা ও নিরাপত্তার প্রয়োজন,0,0,0,0,0,1
পর্দা করলে তো এমনটা হয় না,0,0,0,0,1,0
আপনার বাপ যদি আপনার মায়ের সাথে ঐদিন রাতে প্রটেকশন ইউজ করতো তাইলে আজ এই পোস্ট পড়া লাগতো না,0,0,0,0,1,0
পর্দা করলে তো এরকম হবে না,0,0,0,0,1,0
যে পুরুষ একটি নারীকে বুঝতে পারে সে পৃথিবীর যে কোন জিনিষ বুঝতে পারার গৌরব করতে পারে,0,0,0,0,0,1
মেয়ে মানুষের এতো রাতে বাইরে কাজ কি ,0,1,0,0,0,0
খানকিমাগী তোর দুই ঠ্যাং ধরে ছিঁড়েফেড়ে ভারতের রাম মন্দিরের ইতিহাস বের করে দেব চুতমারানি তোর সাহস কি করে বাজে কথা বলার,0,0,0,1,0,0
রুপামাগিকেঘোড়াধনদিয়েচুদতেহবেতাহলেমাগিআলললাহকেনিয়েকোনোখারাপকমেনকরবেনাআমিমালসিয়াপবাসি,0,0,0,1,0,0
শালীর জায়গামত মাগুর মাছ ঢুকানো উচিত,0,0,0,1,0,0
অশ্লীল নারীরা জাহান্নামে নিজের বাবা মা বড় ভাই স্বামী আরো অনেক লোককে সাথে নিয়ে যাবে  ,0,1,0,0,0,0
এ তোর মার চুদি  তোর চোদবো আর আওয়ামীলীগের সমস্ত নেতা দিয়ে চোদাবো ,0,0,0,1,0,0
মিন্নি মাগিরে ধইরা উলঙ্গ কইরা বাইরালে সব বলে ফেলবে ঐ মাগি ঘটনার মূল কারন,0,0,0,1,0,0
শীতে ভারাক্রান্ত পুরুষদের এক্টূ গরম দিয়ে সাহায্য করলেন ,0,1,0,0,0,0
তুমি খানকি খানকিগিরি করতে তোমার ভালো লাগে সেটা তোমার ব্যাপার তবে খানকিগো দেশে যেয়ে খানকিগিরি করো,0,0,0,0,0,1
মা মেয়ে দুজনের পরদা না থাকার কারনে এই অবসথা,0,1,0,0,0,0
এই খানকি মাগি তোরে চুদি তেল ছেপ মিছ করে চুদমু এমন চুদা দিমু বুদা লাল করে দিমু ফেনা বেরকরে দিমু খানকি মাগি মিথ্যা বলিস কেন চুদানি মাগি,0,0,0,1,0,0
তুই মেয়ে ভালো না,1,0,0,0,0,0
বাবু তুমি মুখে মাস্ক খুলে ফেলো দেখি তোমার মিষ্টি মুখ ,0,0,0,0,0,1
টাকার জন্য বা ভালবাসার জন্য বিছানায় যাওয়া  আপনি দুর্দান্ত পিস আপা   ,0,0,0,0,1,0
হারাম কাজে সুখ নাই,0,0,0,0,0,1
আমি ও জারা কে চুইদা ওর ভোদা ফাটাইতে চাই কত টাকা লাগবে জানাবেন মামুন,0,0,0,1,0,0
গ্রেফতারের মাধ্যমে এটি প্রমাণিত হল এদেশের আইন নগ্নতা নর্তকীর পক্ষে   ইসলামের পক্ষে না,0,0,0,0,1,0
এরা প্রকৃত সৌন্দর্যের মানেই বুঝে না,0,0,0,0,0,1
পুরুষদের মতো মহিলাদেরও কিছু সামাজিক দায়িত্ব রয়েছে,0,0,0,0,0,1
মহিলা মানুষের কথায় চললে এমন ই হয়,0,1,0,0,0,0
সব সময় গলা নিচু করে কথা বলতে হবে ,0,1,0,0,0,0
মেয়ে মানুষ চুপ করে শুনবেন  এতো কথা কিসের,0,1,0,0,0,0
এই ফালতু মেয়ের পরিবার এগুলো দেখে নাকেমন বাজে ফ্যামিলির মেয়ে রে ভাই বুজলাম নাএগুলো কোনো মানুষের পেটে বোধহয় জন্ম নেয় নিনিলে এগুলো করতো না,1,0,0,0,0,0
আপনাদের মা মেয়ে দুজনেরই আরো পর্দার বেপারে সচেতন থাকা উচিত ছিল ,0,0,0,0,1,0
সব মেয়েরাই আকাইম্মা  ,0,1,0,0,0,0
নিজের মেয়ে কে মাতৃহারা করে আইছিস শিশুদের ভবিষ্যৎ নিয়ে ভাবতে,0,1,0,0,0,0
জবাকে আমি চুদব,0,0,0,1,0,0
এমন মাল টাই তো দরকার,0,1,0,0,0,0
মেয়ে হয়ে তুমি উলঙ্গ থাকলেও কেউ তোমাকে দেখতে যাবে না  ইসলাম মহিলাদের সম্মান দিয়েছে  কিন্তু বেয়াপনা শেখায় নি,0,0,0,0,1,0
মেয়ে দের লজ্জা নেই সে সবাই জানি,1,0,0,0,0,0
পর্দার সাথে চলেন  মানুষ সন্মান করবে  বেশী ভাইরাল হওয়া ভালো না ,0,1,0,0,0,0
আামি অপুকে চুদতে চাই,0,0,0,1,0,0
আমার চেষ্টা করার দরকার নাই আমার উনি পারছে মানে আমি পারছি,0,0,0,0,0,1
আপু ছেলে গার্জিয়ান ছাড়া বের হলে এমন তো হবেই,0,0,0,0,1,0
তোর মাকে আমি পাইলে পূটকি দিয়ে ধনটা ডুকীয়ে বলতাম এই কুকুরের বাচ্ছাকে পেটে নিছচ কেন,0,0,0,1,0,0
চেহারা সুন্দর আছে,0,0,0,0,0,1
খালেদা জিয়ার সাথে কাওয়ার তুলনা হা হা হা কুত্তায় মরলো না কেনো  খালেদা জিয়ার মুক্তি চাই কুত্তা লিগ নিপাত জাক,1,0,0,0,0,0
প্রজন্মের কমন প্রবলেম,0,0,0,0,0,1
নস্টামির একটা লিমিট থাকে,0,0,0,0,0,1
শয়তানের মা এগুলো  নেড়ীবাদিদের বিশ্ব বেহায়া সমাবেশ ,1,0,0,0,0,0
রাণু দিদি আমরা আপনার গান দেখছি বলে আপনি এতটাই ওপরে উঠতে পেরেছেনদশকরা এবং আপনার জন ্য যারা সাহায ্য এর হাত বাড়িয়ে দিয়েছে তারাই তোমার কাছে ভগবানের মতআর তাদের কে তুমি চাকর বলে অপমান করছআসলে কুকুরের পেটে কি ঘি ভাত সহ ্য হয় কুকুরের লেজ কী কখনো সোজা হয় হয়না,1,0,0,0,0,0
মহিলাদের বাড়িতে থাকা উচিত ,0,1,0,0,0,0
তোর চরিত্র ভাল না,1,0,0,0,0,0
তরমারে চুদছে,0,0,0,1,0,0
এই মহিলা কাফের শয়তান  ওলিপুরির নাজায়েজ গার্লফ্রেন্ড,1,0,0,0,0,0
কেন নারীরা নামকরা আবিষ্কার হলো না ,0,0,0,0,1,0
যৌনতা সৃষ্টির আদিকাল থেকে চলে আসতেছে এবং এটা সবচেয়ে কমন একটা প্রাকৃতিক এবং জৈবিক বিষয় ,0,0,0,0,0,1
শুয়রোর বাচ্চার ফাসি চাই,1,0,0,0,0,0
নারীরা যা করতে পারি তার কোন সীমা নেই,0,0,0,0,0,1
মাঝেমধ্যে ঘুমিয়ে পড়ার ভান করতাম  বাবা তবু বকেই যেতেন ,0,0,0,0,0,1
কিরে মাগীর পুলা     তর মায়ের গোয়া থেকে বের হলি কেন    চোদা হবে তর বউয়েরে  কাংখির পুলা তরা নাকি বুদ্ধী ব্যাশা    তর মার হরডা,0,0,0,1,0,0
নারীর অধিকার রক্ষা করা সবার কর্তব্য,0,0,0,0,0,1
যেসব নারীরা সমাজকে অশ্লীলতায় নষ্ট করে তাদের বিরোদে প্রতিবাদ করাতে যদি জেলও হয় তবুও ভালো আমি মনে করি,0,1,0,0,0,0
যদি তোর ডাকশুনে কেউ না আসে তবে একলা জাওয়ার দরকার নাই দিনকাল ভাল না,0,0,0,0,0,1
নস্ট মহিলা,1,0,0,0,0,0
সব বড় মানুষেরাই তাঁদের সাফল্যর জন্য কোন অসাধারণ নারীর সহযোগিতা এবং উৎসাহের ঋণের কথা বলেছেন,0,0,0,0,0,1
নাটকের মাল গুলো কিন্তু মারাত্মক,0,0,0,0,1,0
মেয়েটা একটা ফালতু আনফলো করে দিলাম,1,0,0,0,0,0
অর মেয়েরে এখন সবাই চুদ,0,0,0,1,0,0
বাংলাদেশ কে আর মুসলিম দেশ বলা যায় না ,0,0,0,0,0,1
মাথায় কাপড় ছাড়া কেনো এই মেয়ে  আরবি পরতেছে কিন্তু মাথায় কাপড় নেই ফাজলামি নাকি ,0,1,0,0,0,0
বৃহত্তর জনগোষ্ঠীর কল্যাণের লক্ষ্যে প্রত্যেককেই তার জন্য নির্ধারিত দায়িত্বকর্তব্য পালন করতে হবে,0,0,0,0,0,1
সন্তানের বাবা কে এই প্রশ্নের উত্তর শুনতে না চাইলে কনডম ব্যবহার করেন,0,0,0,0,1,0
এই মাগিরে কুপানোর দরকার আর এই মাদার চোদ অকলরে কুপানো ও দরকার,0,0,0,1,0,0
যেখানে আদিন মানুষ গাছের ছাল দিয়েও পর্দা মেনটেইন করতে সেখানে এখন বারো হাত শাড়িতেও শরীরের অর্ধেক ডাকে না ,0,1,0,0,0,0
অর্ধ নগ্ন নায়িকাদের মধ্যে অন্যতম একজন,1,0,0,0,0,0
মেয়েদের এত পড়াশোনা করার মোটেও দরকার নাই ,0,1,0,0,0,0
নারীদের ব্যাপারে বৈষম্য মুছে ফেলতে হবে,0,0,0,0,0,1
মেয়ে হওয়ার কারণে বাইচ্ছা গেলে নাইলে তোরে যে কি করতাম  ,0,1,0,0,0,0
পাশ্চাত্য দেশের ভাব ধারণ করতে ছোট কাপড় পড়ে আসলো  ,0,1,0,0,0,0
শালী তুই কোনদিন নিষিদ্ধ হবি সেটাই ভাব ভারত কে এসেছে নিষিদ্ধ করতে সামান্য ভিউ পাওয়ার জন্য গাজাগোরি নিউজ দিতে তোর লজ্জা করে না ওহঁ তোমরা তো আবার গুষ্টি সহ গাজাখোর,1,0,0,0,0,0
এই মাগি বুদা কেটে ফেলা হইক আবার বলে যে ভিডিও করছে তাকে বিচার করতে হা হা হা,0,0,0,1,0,0
রানুর মুখে লাথি মারি আমিশালি পাগলী চুদি মাগি,0,0,0,1,0,0
আপনাকে পর্দার নিয়ম অবশ্যই মেনে চলতে হবে,0,0,0,0,1,0
আমি তো ভাই তৃতীয় লিঙ্গধারী হতে পারবোনা ,0,0,0,0,0,1
অভিনয়ে যৌন কাজ করলে বাচ্চা হবে না,0,0,0,0,0,1
মেয়েদের চোখের দিকে তাকালে এই দুনিয়ার সবচেয়ে শ্রেষ্ঠ ভালবাসা দেখতে পাওয়া যায়,0,0,0,0,0,1
মেয়েদের সব স্বপ্ন সফল হোক,0,0,0,0,0,1
সেই নারী শ্রেষ্ঠ রমণী যার প্রতি তার স্বামী দৃকপাত করলে তাকে খোশ করে দেয়  ,0,1,0,0,0,0
তুমি হারবাল খাও,0,0,0,0,0,1
আসলে কথা বললেই সমস্যা,0,0,0,0,0,1
অবশ্যই পর্দা করা উচিত যদি বাড়ি থেকে বের হতে হয় ,0,1,0,0,0,0
এত যে কনসেন্ট কনসেন্ট করেন  তো আপনি কি আপনার পিতার সাথে সম্মতিতে সেক্স করবেন  ভাইয়ের সাথে করবেন    ,0,0,0,0,1,0
মেয়েটা অনেক পর্দানশীল  আকাম করার সময় ও সে হিজাব খোলে নাই  ভাবা যায়  ,1,0,0,0,0,0
আরে খানকি মাগী বলে কি রে খানকি মাগী তোদের বাংলাদেশে হয়না তোদের বাংলাদেশে তো সব ছোট ছোট নাবালিকাদের হুজুরের দলে প্রত্যেকদিন রেপ করে খান কি তুই আবার অন্যের দিকে আঙ্গুল তুলে তোর গাঁড় মারব এবং তোর পাকিস্তানের গায়িকার মেরে ওলা করে দেব বুঝেছিস খান কি তোর চ্যানেলের মায়ের গুষ্টির গাঁড় মারি খানকি মাগী,0,0,0,1,0,0
সেই মহিলাকে বলছি আপনি বিয়ে করলেন কেন আপনার যদি চাহিদা না থাকে,0,0,0,0,1,0
ওর বউকে লাগানো উচিত সবাই মিলে,0,0,0,1,0,0
বেশিদিন এই পেজে থাকলে আমি পাগল হয়ে যাবো সম্মানের সাথে বিদায় নিচ্ছি,0,0,0,0,0,1
যে নারীকে তার স্বামী দৃকপাত করলে সে তাকে খোশ করে দেয় সেই শ্রেষ্ঠ নারী ,0,1,0,0,0,0
বেপর্দা হয়ে চললে তোমার সাথে মানুষ এমন করবে এটাই তো স্বাভাবিক,0,0,0,0,1,0
এই মেয়ের উপযুক্ত শাস্তি হওয়া দরকার  কারণ ছেলের স্ত্রী জানা অবস্থায় কেন তার সাথে প্রেম করল ,0,0,0,0,1,0
ভালো হবে তবে বূবলি না শালি,1,0,0,0,0,0
পতিতাবৃত্তি করলেই পারিস  টাকাও ইনকাম করতে পারবি আবার নিজের মনমতো দোচাও খেতে পারবি,1,0,0,0,0,0
নারীকে তৈরি করা ই হয়েছে পুরুষে ছোঁয়ার জন্য আর বংশ বিস্তার করার জন্য  এন্ড অব ডিস্কাশন ,0,1,0,0,0,0
অন্য কেউ মায়েদের জায়গা নিতে পারবেনা,0,0,0,0,0,1
অা লীগের মাগি তোরে জুতাপেটা করবো,0,0,0,1,0,0
বিশ্বের একমাত্র লেখিকা যার মাথায় গু  ভরা,1,0,0,0,0,0
আপনারাই অশ্লীল পোশাক পড়ার লাইসেন্স দিয়েছেন,0,0,0,0,1,0
মেয়েটার শরীর একদম অস্ট্রেলিয়ার ফিজিয়ান গাভীর মতো,0,0,0,0,1,0
শালি একটা খাসা মাল ওরে পুটকি মারতে মজাই লাগবে ,0,1,0,0,0,0
মেয়েরা চায় ডানা মেলে উড়তে,0,0,0,0,0,1
হর্নিনেসের কারখানা,1,0,0,0,0,0
তোমাকে মাঘি মাঘি দেখছেতো তাই অপার করছিলো,0,1,0,0,0,0
মেয়েদের স্বভাবতই একটু বেশি কথা বলতে পছন্দ করে,0,1,0,0,0,0
মেয়ের বুকে ওড়না থাকবে না কেন,0,0,0,0,1,0
বিয়ে করলে মেয়েদের একটু দায়িত্ব নিতেই হবে ,0,1,0,0,0,0
বেহায়া মা মেয়ে তোমরা পর্দা করো না কেনো ,1,0,0,0,0,0
তুই মেয়ে হয়ে পর্দা করিসনা,0,1,0,0,0,0
কতগুলো বড় বড় টিপ পরা নারিবাদী মহিলা হাজির হয়েছে,0,0,0,0,1,0
চরম হাসি পাইলো ভাই,0,0,0,0,0,1
তোমার পোশাকের যে ছিরি তাতে এর চেয়েও খারাপ হওয়া অসম্ভব কিছু না,0,0,0,0,1,0
ফেক শব্দটি মেয়েদের সাথেই যায় ,0,1,0,0,0,0
আগ বাড়িয়ে কোনো কথা বললেই মেয়েদের দোষ হবার কথা ,0,1,0,0,0,0
তাড়াতাড়ি বিয়ে করো  এমনেও তো জামাইর টাকায় ই খাবা ,0,1,0,0,0,0
একজন মুসলমান তুই তোর বউকে এত ছোট ছোট জামা কাপড় কি করে ইউজ করতে দেষ,0,1,0,0,0,0
নাউজুবিল্লাহ  দুই জনের উপযুক্ত শাস্তি হওয়া উচিত,0,0,0,0,0,1
কলকাতার সেক্সি মহিলা বা বিধবা বয়স্কা মহিলা থাকলে এসওওও আমার বয়স্কা দের চুদতে দারুন লাগে এ এসওওওও ভিডিও কল করে চুদবো এসওওওও,0,0,0,1,0,0
বেশিরভাগ মেয়েরা গ্রুপ প্রকল্পে অকেজো,0,1,0,0,0,0
এসব মহিলাদের একদম আগুনের ছেকা দেওয়া উচিৎ,0,0,0,0,1,0
মহিলার কথার ধরন দেখুন  অবশ্যই বাজে ঘরের মহিলা হবে,0,0,0,0,1,0
এটাই ডিজিটাল বাংলাদেশ,0,0,0,0,0,1
তুমি কেমন চরিত্রবান মেয়ে আমরা আগে থেকেই জানি,0,0,0,0,1,0
অমন শরীর দেখানো কাপড় পড়লে ছেলেরা দু একটা খারাপ কথা বলতেই পারে  ,0,1,0,0,0,0
হাজারো বিবাহ বিচ্ছেদ এর একমাত্র কারন হল মায়ের এ ধরনের কথাগুলো,0,0,0,0,1,0
পরীমণির মতো মেয়ের প্রতিদিন রাতে একটা করে জামাই লাগে,0,0,0,0,1,0
পাগালামি এ সানি লিওনকে হারমানে চায় জনি সিং না কি বাল যেনো ওর কাছে দেখতে চাই,1,0,0,0,0,0
লাল লাল জাম্বুরা কে কে খাবি তোরা,0,0,0,0,1,0
চুপ কর শালী তুই কাকে খুশি করেছিস,1,0,0,0,0,0
তর মাইরে কি তুই চুদিস বান্দির বাচ্ছা,0,0,0,1,0,0
ছেলে ছেলের বউ জানোয়ারের চেয়ে ও খারাপ,1,0,0,0,0,0
এই মেয়েদের চরিত্র কেউ কোনদিন বিয়ে করবে না  ,0,1,0,0,0,0
শহরের বাতাস দুষিত ,0,0,0,0,0,1
মাল টা কে চু,0,1,0,0,0,0
বেশি ভাইরাল হওয়া ভালো না পর্দার সাথে চলুন মানুষ সম্মান করবে  ,0,1,0,0,0,0
শালি পাগল চোদা,1,0,0,0,0,0
নেত্রী হতে গেলে আগে নেতার ইচ্ছা পুরুন করতে হয়,0,1,0,0,0,0
হায়রে আমাদের বর্তমান মা   বোনদের নৈতিকতা  ,0,1,0,0,0,0
এই কাংকির মেয়ে তর মার বুদার বিতরে লাল মরিস দিমু,0,0,0,1,0,0
ভাইরেভাই এই ভিকারুননিসা কি সাংঘাতিক প্রোডাক্ট সাপ্লাই দিচ্ছে ,0,1,0,0,0,0
অপুর প্রতি মানুষের ভালোবাসা নষ্ট করার চক্রান্ত সব কুশিখ্খিত বুবলীর কাজ শাকিব তুই কি মুসলমান,1,0,0,0,0,0
খানকির বিটিক চুদলে মাফ হবে,0,0,0,1,0,0
অশুভ মানেই মেয়ে মানুষ  ,0,1,0,0,0,0
মহিলা মানুষ পারবেন না ,0,1,0,0,0,0
যেসব মহিলারা মনে করে পোশাকেই সব স্বাধীনতা তাদের কাপড় ছাড়াই থাকতে দিন,0,0,0,0,1,0
ময়ূরী মন হয় কালো বিড়ালের মাংস খাইছি এত মোটা কেমনে হইছে,1,0,0,0,0,0
এগুলা রাস্তার মেয়ে,1,0,0,0,0,0
খানিক মাগি তোর বিএনপি দালালী চোদাছ তোর মাকে চুদবো তোর বাবারে গলায় বেঁধে,0,0,0,1,0,0
কি নির্লজ্জ  জেনা করার পর আবার সংবাদ সম্মেলন করতে এসেছে,0,0,0,0,1,0
অপু উকিল মালাউনের বাচ্চার পাওয়ার বেড়ে গেছে,1,0,0,0,0,0
তবে আমার মনে হয় আপনি যদি বোরকা পড়ে যেতেন তবে এমনটা হতো না  কারণ পর্দাশীল নারী কে সবাই শ্রদ্ধা ও সম্মান করে ,0,1,0,0,0,0
যে মেয়েরা খোলামেলা পোশাক পড়ে সমাজে অসভ্যতা সৃষ্টি করে তাদের রাত দিন পেটানো উচিত,0,0,0,0,1,0
ওরে বাটপার,0,0,0,0,0,1
পর্দা না করে বাসে উঠলেই এসব হবে তদের,0,0,0,0,1,0
নারী নিজের পোশাকের মাধ্যমে একজন পুরুষকে সিডিউস  করাও এক ধরনের অপরাধ ,0,1,0,0,0,0
ধর্ষণের হার বড় বড় রাষ্ট্রগুলোতে তুলনামূলক বেশি  ,0,1,0,0,0,0
চেবলা মাগির পোলা বুয়া খবর দেয়ার জন্য তোর মার বোদা দিয়ে গরম ডিম ঢুকানো হোক   ,0,0,0,1,0,0
বোরকার নিচে হাপ পেন পরলে তুই দেখতে তুই পাগল নাকি আমার তো মনে হয় তুই পাগল হয়ে গেছিস ফালতু মেয়ে,1,0,0,0,0,0
